,date,new_case,new_death,country
526,2/8/20 06:19,1,0,International
527,2/8/20 05:00,2,0,China
528,2/8/20 03:33,1,0,China
529,2/8/20 03:25,11,0,China
530,2/8/20 03:19,11,0,China
531,2/8/20 03:06,1,0,International
532,2/8/20 02:07,13,0,China
533,2/8/20 02:04,2,0,China
534,2/8/20 01:55,19,0,China
535,2/8/20 01:26,25,0,China
536,2/8/20 01:25,4,0,China
537,2/8/20 01:22,42,0,China
538,2/8/20 01:07,3,0,China
539,2/8/20 01:02,1,0,International
540,2/8/20 01:00,27,0,China
541,2/8/20 00:45,7,0,China
542,2/8/20 00:44,29,0,China
543,2/8/20 00:36,35,0,China
544,2/8/20 00:33,23,0,China
545,2/8/20 00:18,9,0,China
546,2/8/20 00:17,2,0,China
547,2/8/20 00:16,11,1,China
548,2/8/20 00:15,441,7,China
549,2/7/20 23:51,6,0,China
550,2/7/20 23:08,18,0,China
551,2/7/20 22:10,147,81,China
552,2/7/20 19:56,12,0,China
553,2/7/20 19:40,7,0,International
554,2/7/20 14:50,8,0,China
555,2/7/20 10:50,0,1,China
556,2/7/20 10:46,1,0,International
557,2/7/20 09:36,5,0,International
558,2/7/20 08:05,20,0,China
559,2/7/20 07:53,2,0,China
560,2/7/20 07:09,9,0,China
561,2/7/20 06:51,4,0,China
562,2/7/20 05:59,5,0,China
563,2/7/20 05:58,7,0,International
564,2/7/20 03:28,1,0,International
565,2/7/20 03:26,3,0,China
566,2/7/20 03:14,15,0,China
567,2/7/20 03:08,2,0,China
568,2/7/20 03:07,18,1,China
569,2/7/20 03:01,7,0,China
570,2/7/20 02:22,11,0,China
571,2/7/20 02:10,2,0,China
572,2/7/20 02:03,9,0,China
573,2/7/20 02:00,41,0,China
574,2/7/20 01:43,8,0,China
575,2/7/20 01:05,37,0,China
576,2/7/20 01:03,42,0,China
577,2/7/20 00:54,68,0,China
578,2/7/20 00:53,31,0,China
579,2/7/20 00:46,31,0,China
580,2/7/20 00:45,19,0,China
581,2/7/20 00:33,21,0,China
582,2/7/20 00:32,3,0,International
583,2/7/20 00:21,4,0,China
584,2/7/20 00:20,11,0,China
585,2/7/20 00:19,24,0,China
586,2/7/20 00:05,498,5,China
587,2/6/20 23:56,2,0,China
588,2/6/20 23:53,4,0,China
589,2/6/20 23:15,2,0,International
590,2/6/20 23:09,11,0,China
591,2/6/20 22:05,841,80,China
592,2/6/20 20:12,1,0,International
593,2/6/20 20:07,8,0,China
594,2/6/20 19:00,1,0,International
595,2/6/20 16:06,4,0,China
596,2/6/20 15:04,3,0,China
597,2/6/20 14:30,1,0,International
598,2/6/20 11:59,1,0,China
599,2/6/20 10:37,4,0,China
600,2/6/20 10:30,1,0,China
601,2/6/20 10:29,1,0,China
602,2/6/20 10:28,4,0,China
603,2/6/20 10:21,16,0,China
604,2/6/20 10:15,1,0,International
605,2/6/20 09:41,3,0,International
606,2/6/20 09:02,1,0,International
607,2/6/20 08:04,7,0,China
608,2/6/20 06:16,1,0,China
609,2/6/20 06:15,50,0,China
610,2/6/20 05:50,8,0,China
611,2/6/20 03:31,6,0,China
612,2/6/20 03:30,9,0,China
613,2/6/20 02:54,23,0,China
614,2/6/20 02:02,11,0,China
615,2/6/20 01:45,4,0,China
616,2/6/20 01:44,3,0,China
617,2/6/20 01:43,3,0,China
618,2/6/20 01:41,3,0,China
619,2/6/20 01:40,2,0,China
620,2/6/20 01:06,61,0,China
621,2/6/20 01:05,61,0,China
622,2/6/20 01:00,52,0,China
623,2/6/20 00:43,35,0,China
624,2/6/20 00:40,74,0,China
625,2/6/20 00:39,41,0,International
626,2/6/20 00:28,23,0,China
627,2/6/20 00:26,1,0,International
628,2/6/20 00:11,14,0,China
629,2/6/20 00:08,4,0,China
630,2/6/20 00:07,32,0,China
631,2/6/20 00:06,625,4,China
632,2/5/20 23:46,12,0,China
633,2/5/20 23:02,11,0,China
634,2/5/20 22:53,2,0,International
635,2/5/20 22:10,1,0,International
636,2/5/20 22:15,2,0,China
637,2/5/20 22:09,447,69,China
638,2/5/20 18:58,0,1,China
639,2/5/20 18:51,6,0,China
640,2/5/20 16:51,5,0,China
641,2/5/20 16:22,1,0,China
642,2/5/20 14:30,3,0,International
643,2/5/20 14:19,2,0,International
644,2/5/20 14:01,2,0,International
645,2/5/20 13:49,3,0,China
646,2/5/20 13:19,1,0,International
647,2/5/20 13:13,1,0,International
648,2/5/20 13:02,2,0,International
649,2/5/20 11:21,4,0,China
650,2/5/20 11:15,3,0,China
651,2/5/20 11:10,9,0,China
652,2/5/20 11:06,1,0,China
653,2/5/20 11:05,1,0,International
654,2/5/20 10:50,11,0,China
655,2/5/20 10:42,26,0,China
656,2/5/20 10:34,5,0,China
657,2/5/20 10:28,2,0,International
658,2/5/20 10:17,2,0,China
659,2/5/20 10:09,2,0,China
660,2/5/20 09:30,1,0,International
661,2/5/20 09:01,2,0,International
662,2/5/20 04:57,10,0,China
663,2/5/20 02:36,21,0,China
664,2/5/20 02:01,8,0,China
665,2/5/20 01:35,4,0,China
666,2/5/20 01:33,6,0,China
667,2/5/20 01:12,74,0,China
668,2/5/20 01:11,52,0,China
669,2/5/20 01:10,59,0,China
670,2/5/20 01:01,1,0,China
671,2/5/20 01:00,6,0,China
672,2/5/20 00:49,37,1,China
673,2/5/20 00:48,32,0,China
674,2/5/20 00:47,50,0,China
675,2/5/20 00:43,4,0,China
676,2/5/20 00:42,61,0,China
677,2/5/20 00:41,20,0,China
678,2/5/20 00:27,5,0,China
679,2/5/20 00:26,87,0,China
680,2/5/20 00:11,18,0,China
681,2/5/20 00:08,36,0,China
682,2/5/20 00:05,5,0,China
683,2/5/20 00:00,22,0,China
684,2/4/20 23:49,10,0,International
685,2/4/20 23:41,11,0,China
686,2/4/20 23:40,13,0,China
687,2/4/20 23:39,9,0,China
688,2/4/20 23:38,4,0,China
689,2/4/20 23:37,660,1,China
690,2/4/20 23:06,4,0,International
691,2/4/20 22:10,987,70,China
692,2/4/20 19:06,10,0,China
693,2/4/20 19:05,0,1,China
694,2/4/20 19:04,1,0,China
695,2/4/20 19:03,1,0,International
696,2/4/20 19:02,1,0,International
697,2/4/20 19:01,1,0,International
698,2/4/20 19:00,1,0,International
699,2/4/20 19:00,10,0,China
700,2/4/20 17:30,7,0,China
701,2/4/20 17:13,4,0,International
702,2/4/20 11:09,2,0,International
703,2/4/20 10:01,1,0,International
704,2/4/20 09:32,2,0,China
705,2/4/20 09:31,9,0,China
706,2/4/20 09:22,3,0,International
707,2/4/20 06:12,10,0,China
708,2/4/20 05:56,25,0,China
709,2/4/20 05:51,1,0,International
710,2/4/20 05:10,2,1,China
711,2/4/20 03:29,23,0,China
712,2/4/20 03:07,11,0,China
713,2/4/20 02:00,11,0,China
714,2/4/20 01:33,3,0,China
715,2/4/20 01:31,57,0,China
716,2/4/20 01:21,7,0,China
717,2/4/20 01:12,72,0,China
718,2/4/20 01:11,66,0,China
719,2/4/20 00:59,35,0,China
720,2/4/20 00:56,6,0,China
721,2/4/20 00:52,33,0,China
722,2/4/20 00:50,2,0,China
723,2/4/20 00:46,68,0,China
724,2/4/20 00:44,50,0,China
725,2/4/20 00:35,89,0,China
726,2/4/20 00:33,23,0,China
727,2/4/20 00:31,19,0,China
728,2/4/20 00:22,2,0,International
729,2/4/20 00:11,12,0,China
730,2/4/20 00:03,9,0,China
731,2/4/20 00:00,11,0,China
732,2/3/20 23:58,14,0,China
733,2/3/20 23:57,22,0,China
734,2/3/20 23:56,7,0,China
735,2/3/20 23:55,3,0,China
736,2/3/20 23:14,10,0,International
737,2/3/20 22:13,156,65,China
738,2/3/20 21:40,1,0,International
739,2/3/20 17:54,1,0,International
740,2/3/20 16:49,1,0,International
741,2/3/20 16:13,1,0,International
742,2/3/20 14:01,1,0,International
743,2/3/20 13:55,2,0,China
744,2/3/20 13:50,4,0,China
745,2/3/20 13:12,1,0,International
746,2/3/20 12:15,1,0,China
747,2/3/20 11:18,16,0,China
748,2/3/20 11:17,1,0,International
749,2/3/20 10:25,6,0,International
750,2/3/20 10:19,2,0,China
751,2/3/20 10:05,6,0,International
752,2/3/20 09:43,2,0,International
753,2/3/20 09:20,1,0,International
754,2/3/20 09:15,16,0,China
755,2/3/20 08:58,1,0,International
